city,fuelType,year,month,rsp
Delhi,Petrol,2024,1,96.72
Delhi,Petrol,2024,2,96.72
Delhi,Petrol,2024,3,96.72
Delhi,Petrol,2024,4,94.72
Delhi,Petrol,2024,5,94.72
Delhi,Petrol,2024,6,94.72
Delhi,Petrol,2024,7,94.72
Delhi,Petrol,2024,8,94.72
Delhi,Petrol,2024,9,94.72
Delhi,Petrol,2024,10,94.72
Delhi,Petrol,2024,11,94.72
Delhi,Petrol,2024,12,94.72
Delhi,Diesel,2024,1,89.62
Delhi,Diesel,2024,2,89.62
Delhi,Diesel,2024,3,89.62
Delhi,Diesel,2024,4,87.62
Delhi,Diesel,2024,5,87.62
Delhi,Diesel,2024,6,87.62
Delhi,Diesel,2024,7,87.62
Delhi,Diesel,2024,8,87.62
Delhi,Diesel,2024,9,87.62
Delhi,Diesel,2024,10,87.62
Delhi,Diesel,2024,11,87.62
Delhi,Diesel,2024,12,87.62
Mumbai,Petrol,2024,1,106.31
Mumbai,Petrol,2024,2,106.31
Mumbai,Petrol,2024,3,106.31
Mumbai,Petrol,2024,4,104.21
Mumbai,Petrol,2024,5,104.21
Mumbai,Petrol,2024,6,104.21
Mumbai,Petrol,2024,7,104.21
Mumbai,Petrol,2024,8,104.21
Mumbai,Petrol,2024,9,104.21
Mumbai,Petrol,2024,10,104.21
Mumbai,Petrol,2024,11,104.21
Mumbai,Petrol,2024,12,104.21
Mumbai,Diesel,2024,1,94.27
Mumbai,Diesel,2024,2,94.27
Mumbai,Diesel,2024,3,94.27
Mumbai,Diesel,2024,4,92.15
Mumbai,Diesel,2024,5,92.15
Mumbai,Diesel,2024,6,92.15
Mumbai,Diesel,2024,7,92.15
Mumbai,Diesel,2024,8,92.15
Mumbai,Diesel,2024,9,92.15
Mumbai,Diesel,2024,10,92.15
Mumbai,Diesel,2024,11,92.15
Mumbai,Diesel,2024,12,92.15
Kolkata,Petrol,2024,1,106.03
Kolkata,Petrol,2024,2,106.03
Kolkata,Petrol,2024,3,106.03
Kolkata,Petrol,2024,4,103.94
Kolkata,Petrol,2024,5,103.94
Kolkata,Petrol,2024,6,103.94
Kolkata,Petrol,2024,7,103.94
Kolkata,Petrol,2024,8,103.94
Kolkata,Petrol,2024,9,103.94
Kolkata,Petrol,2024,10,103.94
Kolkata,Petrol,2024,11,103.94
Kolkata,Petrol,2024,12,103.94
Kolkata,Diesel,2024,1,92.76
Kolkata,Diesel,2024,2,92.76
Kolkata,Diesel,2024,3,92.76
Kolkata,Diesel,2024,4,90.76
Kolkata,Diesel,2024,5,90.76
Kolkata,Diesel,2024,6,90.76
Kolkata,Diesel,2024,7,90.76
Kolkata,Diesel,2024,8,90.76
